feature,gain,perm,shap,score,fold
cnt_O,152.85853052139282,-2.3318376726566557e-05,0.00020569256811923386,0.12212005069124424,0
cnt_H,1786.4580960273743,0.003319959707651815,0.01452443974529781,0.8755766359447005,0
n_total_atoms,678.839271068573,3.937970051889894e-05,0.0006147562096540449,0.2972354516129032,0
fc_abs_sum,14.63431978225708,-1.3421949180081328e-06,2.2889841691709806e-05,0.08064525806451613,0
n_aromatic_atom,437.6024389266968,0.0009540770460435722,0.007418384187737799,0.7419358709677419,0
n_ring_atom,815.8896970748901,0.0009686980103551457,0.001958245721892378,0.6013829400921659,0
n_sp,54.611119747161865,8.688792494965236e-05,0.0005573042806985233,0.3248849400921659,0
n_sp2,101035.63634347916,0.3686643477728825,0.5703910945032215,1.000001,0
n_sp3,512.6149888038635,0.00039363471889529157,0.0010545678548998893,0.4377884377880184,0
n_deg1,341.1649899482727,1.7001019500695325e-05,0.000337832782311066,0.2350233917050691,0
n_deg2,1133.8673651218414,0.00026105839752421645,0.0014427168329447908,0.4331802350230415,0
n_deg3,1308.29146194458,0.00047032621786264884,0.0025354129261965113,0.5599083732718894,0
n_deg4,284.8048315048218,0.00014488176760068527,0.0006084597653338378,0.36175147465437785,0
n_pos_charge,0.0,0.0,0.0,0.08525350000000001,0
n_bonds,75.26157975196838,0.0004679564337069397,0.001230100856151599,0.4700462580645161,0
n_single,196.50105118751526,6.274532829682044e-05,0.00021983609102878594,0.260368930875576,0
n_double,1257.2647795677185,0.004261734986136606,0.014200491998499761,0.8847931612903226,0
n_triple,0.0,0.0,0.0,0.08525350000000001,0
n_arom_bond,0.0,0.0,0.0,0.08525350000000001,0
n_conj_bond,14260.24023938179,0.16463916823776853,0.16883264299436204,0.9953926912442397,0
n_ring_bond,819.0507855415344,0.00034411062717012444,0.0026970368576503274,0.5322585207373272,0
max_ring_size,2650.502336740494,0.011650059452071754,0.0317239504714946,0.9400928156682027,0
n_carbo_ring,25.672669887542725,2.9529467308936354e-05,7.785070872960126e-05,0.20046094470046086,0
ring_3,696.3828725814819,0.0004655512895548164,0.0023167999173541553,0.5345626497695852,0
ring_4,941.4348826408386,0.0013432908902501206,0.00557649748479806,0.7465442580645161,0
ring_5,1413.67587184906,0.0008326952193709436,0.00462341971631631,0.6797240552995392,0
ring_6,453.37152004241943,0.00015988213844996823,0.0015992879537273753,0.4239635299539171,0
ring_7,50.58821964263916,-4.1839957033440455e-07,4.5969217215556746e-05,0.09677433640552995,0
ring_8,14.844669818878174,8.224892479480328e-07,5.1257994022301645e-06,0.1336406543778802,0
r_hetero,211.46531057357788,1.4389765649319708e-05,7.62848505211663e-05,0.1820279262672811,0
r_aromatic_atom,174.8384404182434,0.00023565390086372485,0.0011669010453042384,0.417050935483871,0
r_ring_atom,899.749329328537,0.00029012970880842317,0.001156294356492243,0.42165945622119816,0
r_sp,191.48266053199768,1.132881572914468e-05,7.254803341591787e-05,0.17281132258064516,0
r_sp2,1442.028879404068,0.0017809462962756761,0.007631614508079806,0.7880189953917051,0
r_sp3,551.1235089302063,0.0004121877149054043,0.003435365215693118,0.582949732718894,0
r_double,1141.9133083820343,0.0009944607254621651,0.004757634955750925,0.7027654930875576,0
r_triple,508.3036479949951,1.5278335352308936e-05,0.0004195541580156975,0.25345663594470047,0
r_arom_bond,62.68503952026367,4.0865509523330126e-05,0.00039217233591164094,0.2741937188940092,0
r_conj_bond,7148.241666793823,0.020461849502561108,0.02632058557675557,0.9493096313364056,0
r_multiple,1464.499240398407,0.01209326176469353,0.021735454950447722,0.9285719953917051,0
MaxAbsEStateIndex,6507.005644083023,0.001727793712225173,0.005184695749244217,0.7534570783410138,1
MinAbsEStateIndex,11197.473551750183,0.000665341509019618,0.0035334422401826987,0.622120792626728,1
MinEStateIndex,6941.455481290817,0.0003228372852517203,0.00271071223454491,0.5253464976958525,1
qed,10345.2104306221,0.0022906095363306065,0.005876918963717584,0.7949318387096774,1
SPS,5131.994333028793,0.0010609981968665583,0.004037871381180363,0.6751159769585253,1
MolWt,3420.6135239601135,0.0003874573318623065,0.0017932636758448298,0.4884799447004608,1
HeavyAtomMolWt,1488.178134918213,0.00022453230284376623,0.0019780324884078535,0.4608300414746544,1
ExactMolWt,28.110889434814453,-2.388782101014897e-07,4.453051322151402e-06,0.07373283870967742,1
NumValenceElectrons,651.5292840003967,0.001775769952721562,0.003110863030245988,0.7096778479262673,1
MaxPartialCharge,11085.402435064316,0.006096464982080241,0.015159215338563065,0.8940101889400922,1
MinPartialCharge,7381.6574058532715,0.0018148973419833347,0.006694167073072322,0.7949317649769586,1
MaxAbsPartialCharge,6409.5258276462555,0.011616097264376702,0.029437368618670724,0.9447012995391705,1
MinAbsPartialCharge,3467.3913764953613,0.001853590155394369,0.011115148779607275,0.8410145115207374,1
FpDensityMorgan1,3487.6821813583374,0.0004075630668910368,0.0021093426877991863,0.5207380230414747,1
FpDensityMorgan2,3913.515200614929,0.0003509393416389839,0.002966164912609833,0.5506919585253456,1
FpDensityMorgan3,5418.163500785828,0.0006882594289654598,0.003600190320024773,0.6267288847926267,1
BCUT2D_MWHI,9272.214830636978,0.007046881830716084,0.016005388025190147,0.9055309078341014,1
BCUT2D_MWLOW,11986.073111057281,0.009220987359184885,0.02405219538736562,0.9239641152073732,1
BCUT2D_CHGHI,6682.294756412506,0.0016531623954643027,0.005745643415061603,0.7534570875576037,1
