number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
21,0.20678339852013677,2026-07-22 07:19:09.126664,2026-07-22 07:23:00.347387,0 days 00:03:51.220723,0.7611487271542169,0.010157062523030424,11,17.236627333098255,2000,3.3483646389166415,0.006312946232088229,0.9260303067088144,COMPLETE
22,0.2058075392163264,2026-07-22 07:23:00.354900,2026-07-22 07:24:45.972249,0 days 00:01:45.617349,0.7497398362792246,0.050478096947868756,12,14.779267211699894,800,0.7778875793101738,0.001031278610750184,0.9286691520166201,COMPLETE
23,0.2057961910895493,2026-07-22 07:24:45.981708,2026-07-22 07:26:29.098792,0 days 00:01:43.117084,0.7163408776107029,0.04852358030734037,12,14.115736643395573,800,0.7164853135930546,0.0010449539496692384,0.8747149947403369,COMPLETE
24,0.20583989836176309,2026-07-22 07:26:29.108156,2026-07-22 07:28:14.814523,0 days 00:01:45.706367,0.7244050259815927,0.050475355013058554,12,12.630006747064192,800,0.35080694461603396,0.001349569230905972,0.9497849440490427,COMPLETE
25,0.20886978951347018,2026-07-22 07:28:14.824490,2026-07-22 07:29:49.387844,0 days 00:01:34.563354,0.8090155387263724,0.07527082339057312,12,10.94892475751908,700,0.5499117984451187,0.0023278555455843626,0.8424950869958694,COMPLETE
26,0.20809571827140952,2026-07-22 07:29:49.395497,2026-07-22 07:31:10.560354,0 days 00:01:21.164857,0.6089047195629262,0.028104241554817177,11,14.494970989243198,800,0.11277659973419168,0.0018771436039989639,0.7745887813442891,COMPLETE
27,0.2066718229017625,2026-07-22 07:31:10.567811,2026-07-22 07:34:10.382179,0 days 00:02:59.814368,0.6756357281157953,0.07347985468296182,12,13.073302746843064,1300,2.171795752630012,0.016057745018572912,0.9970755077847634,COMPLETE
28,0.20722120326201257,2026-07-22 07:34:10.390553,2026-07-22 07:35:24.575397,0 days 00:01:14.184844,0.5567718064193063,0.04655377229477887,10,18.07397670462383,900,0.22163725500019948,0.0036084404757051654,0.9006186834490845,COMPLETE
29,0.2090918094529671,2026-07-22 07:35:24.583249,2026-07-22 07:37:33.062768,0 days 00:02:08.479519,0.6571926435732603,0.10153307244035031,11,11.298540920414865,1500,0.060658971920226214,0.10482616646907081,0.9505928454233653,COMPLETE
30,0.20685032829029257,2026-07-22 15:37:18.392402,2026-07-22 15:39:20.698851,0 days 00:02:02.306449,0.7316885128050997,0.06008139943199082,11,10.872264513964927,1200,1.068632735146157,0.001010700398359069,0.8546308733434738,COMPLETE
31,0.20594625625341673,2026-07-22 15:39:20.708570,2026-07-22 15:40:43.513243,0 days 00:01:22.804673,0.7224787417823217,0.04714792883109412,12,12.51580829199848,700,0.44523637263208105,0.0013866499709557969,0.956551337075849,COMPLETE
32,0.20536765600136375,2026-07-22 15:40:43.521885,2026-07-22 15:42:18.514102,0 days 00:01:34.992217,0.7953795905222443,0.05020176107140436,12,15.374817276401089,900,0.3267280467601433,0.0026739330025999874,0.8970392306678563,COMPLETE
33,0.20530369692530837,2026-07-22 15:42:18.524006,2026-07-22 15:43:58.308162,0 days 00:01:39.784156,0.801694467036032,0.033714990961007184,12,15.490213784394399,900,0.2002026674285797,0.04114181312214138,0.9000924566011407,COMPLETE
34,0.2060775832489024,2026-07-22 15:43:58.315055,2026-07-22 15:45:32.253544,0 days 00:01:33.938489,0.7896285881162801,0.03477779469061042,11,15.856891385284502,1000,0.17882078592102515,0.03300729694617697,0.8763597800725904,COMPLETE
35,0.2070661302616859,2026-07-22 15:45:32.272476,2026-07-22 15:47:03.855632,0 days 00:01:31.583156,0.9037002065434082,0.02466034051712541,10,14.039440742779288,1100,0.0721350366116449,0.05646935433142086,0.8234104535890695,COMPLETE
36,0.21132113341473824,2026-07-22 15:47:03.862802,2026-07-22 15:48:04.950898,0 days 00:01:01.088096,0.8450041891221045,0.02057153005666706,12,18.78975866080536,600,0.039415548002846384,0.3935396878000935,0.9019759427236606,COMPLETE
37,0.20730344044013202,2026-07-22 15:48:04.960356,2026-07-22 15:49:59.080236,0 days 00:01:54.119880,0.9407440142749464,0.04444733971645348,11,17.18101262546834,1400,0.35337902093833445,0.01793529031712804,0.6756346395420416,COMPLETE
38,0.20695018274396454,2026-07-22 15:49:59.087775,2026-07-22 15:53:06.955193,0 days 00:03:07.867418,0.8198279097243664,0.032491030005579305,12,3.635660240785879,1000,5.7966336351515215,0.011422811358112362,0.8761272134339734,COMPLETE
39,0.21854099034230506,2026-07-22 15:53:06.966482,2026-07-22 15:53:51.373269,0 days 00:00:44.406787,0.8851782246779103,0.12884603210878348,10,9.847588320044753,600,0.017315784490025708,0.36526130615824104,0.5134044570860091,COMPLETE
40,0.20923348625778707,2026-07-22 15:53:51.379885,2026-07-22 15:54:40.850753,0 days 00:00:49.470868,0.7893002732046126,0.06666963821120234,12,11.989067405264649,400,1.813638251238218,0.03890379671130838,0.768407899667696,COMPLETE
41,0.20646802959223107,2026-07-22 15:54:40.858321,2026-07-22 15:56:08.002035,0 days 00:01:27.143714,0.7332973921863771,0.05438083363810454,12,14.765269354844003,800,0.8616706612107276,0.0028451104339711646,0.9183544364837625,COMPLETE
42,0.20642667396234105,2026-07-22 15:56:08.012280,2026-07-22 15:57:40.439960,0 days 00:01:32.427680,0.8700643583282649,0.042234657266844784,11,13.517776770696376,900,0.2683076406942915,0.0018854811980894362,0.8639185749156854,COMPLETE
43,0.20755847377377457,2026-07-22 15:57:40.446795,2026-07-22 15:59:38.114730,0 days 00:01:57.667935,0.784665076394256,0.08260350559653759,12,15.308694693004306,1200,0.17532474065543213,0.0033246833104893627,0.9014053317576823,COMPLETE
44,0.20935079007790156,2026-07-22 15:59:38.123482,2026-07-22 16:00:47.444083,0 days 00:01:09.320601,0.6994270367748124,0.025649752421615324,12,16.212142538198357,600,1.3562605652287687,0.14727035779786368,0.8307074118097589,COMPLETE
45,0.20524660606163062,2026-07-22 16:00:47.452676,2026-07-22 16:02:33.597775,0 days 00:01:46.145099,0.8292638929332764,0.0390521664024108,11,13.70189473592286,900,0.6982136093803839,0.6265792063784938,0.9648377763299907,COMPLETE
46,0.20565382176953828,2026-07-22 16:02:33.605389,2026-07-22 16:04:26.530478,0 days 00:01:52.925089,0.8317025606536405,0.03895513556367635,10,11.881033688971339,1100,0.3995679374672283,0.5565055618601339,0.9693377426349193,COMPLETE
47,0.2074006829604688,2026-07-22 16:04:26.538921,2026-07-22 16:06:07.907020,0 days 00:01:41.368099,0.8455760740733161,0.03671814990788592,9,11.8610538512871,1200,0.08912236884867478,0.5903821615106601,0.9747532353039512,COMPLETE
48,0.20819867073431655,2026-07-22 16:06:07.915438,2026-07-22 16:09:18.169285,0 days 00:03:10.253847,0.9560937587568412,0.021677665124858442,10,8.51378879673307,1400,0.3566972373437853,1.636233871888797,0.9971897742047994,COMPLETE
49,0.20806727293533855,2026-07-22 16:09:18.181619,2026-07-22 16:12:06.108823,0 days 00:02:47.927204,0.8277994665263289,0.01723994077702956,9,11.820228180191608,1600,0.004969173824046911,2.7010016280279396,0.9627584027840458,COMPLETE
50,0.20536348028916027,2026-07-22 16:12:06.125367,2026-07-22 16:14:52.724065,0 days 00:02:46.598698,0.8536046757734601,0.04075836835617938,10,10.292943737609974,1100,0.0014569805925707367,0.7298435381276142,0.9403324575095766,COMPLETE
51,0.20593607831508468,2026-07-22 16:14:52.741568,2026-07-22 16:17:44.918553,0 days 00:02:52.176985,0.8719930663544406,0.040161072584030434,10,10.127281954970307,1100,0.007180563036208583,0.9076609657108536,0.9443888691348787,COMPLETE
